fragment,text,statements,llm_used
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:aquaculture rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :marine_animal ;
            owl:onProperty :has_species ],
        :agriculture .

","aquaculture is a type of agriculture.
aquaculture is a type of something that only has species marine animal.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:beekeeping rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :bee ;
            owl:onProperty :has_species ],
        :animal_production .

","beekeeping is a type of animal production.
beekeeping is a type of something that only has species bee.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:breeding rdfs:subClassOf :animal_production .

",breeding is a type of animal production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:crop_production rdfs:subClassOf :plant_production .

",crop production is a type of plant production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cultivation rdfs:subClassOf :agriculture .

",cultivation is a type of agriculture.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:drip_irrigation rdfs:subClassOf :agriculture .

",drip irrigation is a type of agriculture.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fish_production rdfs:subClassOf :animal_production,
        :aquaculture .

","fish production is a type of animal production.
fish production is a type of aquaculture.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fishing rdfs:subClassOf :production .

",fishing is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:harvesting rdfs:subClassOf :plant_production .

",harvesting is a type of plant production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:horticulture rdfs:subClassOf :agriculture .

",horticulture is a type of agriculture.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:irrigation rdfs:subClassOf [ a owl:Restriction ;
            owl:hasValue :water ;
            owl:onProperty :has_substance ],
        :soil_cultivation .

","irrigation is a type of soil cultivation.
irrigation is a type of something that must has substance water.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:logging rdfs:subClassOf :production .

",logging is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:overfishing rdfs:subClassOf :fishing .

",overfishing is a type of fishing.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:plant_production rdfs:subClassOf :agriculture .

",plant production is a type of agriculture.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sericulture rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :silkworm ;
            owl:onProperty :has_species ],
        :animal_production .

","sericulture is a type of animal production.
sericulture is a type of something that only has species silkworm.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:shellfish_production rdfs:subClassOf :animal_production,
        :aquaculture .

","shellfish production is a type of animal production.
shellfish production is a type of aquaculture.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:soil_cultivation rdfs:subClassOf :agriculture .

",soil cultivation is a type of agriculture.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:assembly rdfs:subClassOf :production .

",assembly is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:capacity_buiiding rdfs:subClassOf :human_activity .

",capacity buiiding is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:clear_cutting rdfs:subClassOf :forestry .

",clear cutting is a type of forestry.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:construction rdfs:subClassOf :production .

",construction is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:consumptive_use rdfs:subClassOf :human_activity .

",consumptive use is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:demand rdfs:subClassOf :human_activity .

",demand is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:development rdfs:subClassOf :human_activity .

",development is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dig rdfs:subClassOf :extraction,
        :resource_extraction .

","dig is a type of extraction.
dig is a type of resource extraction.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:drill rdfs:subClassOf :extraction,
        :resource_extraction .

","drill is a type of extraction.
drill is a type of resource extraction.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:engineering_activity rdfs:subClassOf :production .

",engineering activity is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:exploration rdfs:subClassOf :engineering_activity .

",exploration is a type of engineering activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:extraction rdfs:subClassOf :engineering_activity ;
    owl:equivalentClass :resource_extraction .

","extraction is same as resource extraction.
extraction is a type of engineering activity.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:forestry rdfs:subClassOf :human_activity .

",forestry is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fossil_fuel_burning rdfs:subClassOf :human_activity .

",fossil fuel burning is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:grading rdfs:subClassOf :processing .

",grading is a type of processing.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:in_situ rdfs:subClassOf :human_activity ;
    owl:equivalentClass :on_site .

","in situ is same as on site.
in situ is a type of human activity.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:industrialization rdfs:subClassOf :human_activity .

",industrialization is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:land_use rdfs:subClassOf :human_activity .

",land use is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:manafacturing rdfs:subClassOf :production .

",manafacturing is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:management rdfs:subClassOf :human_activity .

",management is a type of human activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:management_system rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :management ;
            owl:onProperty :has_human_activity ],
        :human_activity .

","management system is a type of human activity.
management system is a type of something that only has human activity management.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mining rdfs:subClassOf :extraction,
        :resource_extraction .

","mining is a type of extraction.
mining is a type of resource extraction.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:on_site rdfs:subClassOf :human_activity .

",on site is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:packaging rdfs:subClassOf :production .

",packaging is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:processing rdfs:subClassOf :production .

",processing is a type of production.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:production rdfs:subClassOf :human_activity .

",production is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:productivity rdfs:subClassOf :human_activity .

",productivity is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:prospecting rdfs:subClassOf :exploration .

",prospecting is a type of exploration.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:resource_extraction rdfs:subClassOf :engineering_activity .

",resource extraction is a type of engineering activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:strip_mining rdfs:subClassOf :mining .

",strip mining is a type of mining.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sustainable_development rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :sustainable ;
            owl:onProperty :has_human_activity ],
        :development .

","sustainable development is a type of development.
sustainable development is a type of something that only has human activity sustainable.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:urbanization rdfs:subClassOf :human_activity .

",urbanization is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:allocation rdfs:subClassOf :decision_activity .

",allocation is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:attribute rdfs:subClassOf :decision_activity .

",attribute is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:belief_network rdfs:subClassOf :decision_activity .

",belief network is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:choice rdfs:subClassOf :decision_activity .

",choice is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:consumer_behavior rdfs:subClassOf :social_behavior .

",consumer behavior is a type of social behavior.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:control_strategy rdfs:subClassOf :decision_activity .

",control strategy is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:criteria rdfs:subClassOf :decision_activity .

",criteria is a type of decision activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dss rdfs:subClassOf :decision_activity ;
    owl:equivalentClass :decision_support_system .

","dss is same as decision support system.
dss is a type of decision activity.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:decision rdfs:subClassOf :decision_activity .

",decision is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:decision_activity rdfs:subClassOf :human_activity .

",decision activity is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:decision_maker rdfs:subClassOf :decision_activity,
        :role .

","decision maker is a type of decision activity.
decision maker is a type of role.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:decision_support_system rdfs:subClassOf :decision_activity .

",decision support system is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:decision_tree rdfs:subClassOf :decision_activity,
        :tree .

","decision tree is a type of decision activity.
decision tree is a type of tree.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:environmental_control_objective rdfs:subClassOf :control_strategy,
        :objective .

","environmental control objective is a type of control strategy.
environmental control objective is a type of objective.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:evaluation rdfs:subClassOf :decision_activity .

",evaluation is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:group_consensus rdfs:subClassOf :decision_activity .

",group consensus is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:location_allocation rdfs:subClassOf :allocation .

",location allocation is a type of allocation.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:multiattribute rdfs:subClassOf :decision_activity .

",multiattribute is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:multiobjective rdfs:subClassOf :decision_activity .

",multiobjective is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:multiple_decision_maker rdfs:subClassOf :decision_activity .

",multiple decision maker is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:objective rdfs:subClassOf :decision_activity .

",objective is a type of decision activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:optimization rdfs:subClassOf :decision_activity,
        :operation_on_function ;
    owl:equivalentClass :optimize .

","optimization is same as optimize.
optimization is a type of decision activity.
optimization is a type of operation on function.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:optimize rdfs:subClassOf :decision_activity,
        :operation_on_function .

","optimize is a type of decision activity.
optimize is a type of operation on function.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:preference rdfs:subClassOf :decision_activity .

",preference is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ranking rdfs:subClassOf :decision_activity .

",ranking is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:resource_allocation rdfs:subClassOf :allocation .

",resource allocation is a type of allocation.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:scenario rdfs:subClassOf :decision_activity .

",scenario is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:screening rdfs:subClassOf :decision_activity .

",screening is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:solution_strategy rdfs:subClassOf :decision_activity .

",solution strategy is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:valuation rdfs:subClassOf :decision_activity .

",valuation is a type of decision activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weighting rdfs:subClassOf :decision_activity .

",weighting is a type of decision activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cems rdfs:subClassOf :environmental_assessment ;
    owl:equivalentClass :continous_emission_monitoring_system .

","cems is same as continous emission monitoring system.
cems is a type of environmental assessment.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:carbon_neutral rdfs:subClassOf :environmental_assessment ;
    owl:equivalentClass :carbon_neutrality .

","carbon neutral is same as carbon neutrality.
carbon neutral is a type of environmental assessment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:carbon_neutrality rdfs:subClassOf :environmental_assessment .

",carbon neutrality is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:continous_emission_monitoring_system rdfs:subClassOf :environmental_assessment .

",continous emission monitoring system is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cost_benefit_analysis rdfs:subClassOf :environmental_assessment .

",cost benefit analysis is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:emission_inventory rdfs:subClassOf :environmental_assessment .

",emission inventory is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:environmental_assessment rdfs:subClassOf :assessment .

",environmental assessment is a type of assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:environmental_impact_statement rdfs:subClassOf :environmental_assessment .

",environmental impact statement is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:environmental_monitoring rdfs:subClassOf :monitor,
        :monitoring .

","environmental monitoring is a type of monitor.
environmental monitoring is a type of monitoring.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hra rdfs:subClassOf :environmental_assessment ;
    owl:equivalentClass :health_risk_assessment .

","hra is same as health risk assessment.
hra is a type of environmental assessment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:health_risk_assessment rdfs:subClassOf :environmental_assessment .

",health risk assessment is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:impact_assessment rdfs:subClassOf :environmental_assessment .

",impact assessment is a type of environmental assessment.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:noael rdfs:subClassOf :health_risk_assessment,
        :hra ;
    owl:equivalentClass :no_observed_adverse_effect_level .

","noael is same as no observed adverse effect level.
noael is a type of hra.
noael is a type of health risk assessment.",3,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:noel rdfs:subClassOf :health_risk_assessment,
        :hra ;
    owl:equivalentClass :no_observed_effect_level .

","noel is same as no observed effect level.
noel is a type of hra.
noel is a type of health risk assessment.",3,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:nsr rdfs:subClassOf :environmental_assessment ;
    owl:equivalentClass :new_source_review .

","nsr is same as new source review.
nsr is a type of environmental assessment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:national_toxics_inventory rdfs:subClassOf :emission_inventory .

",national toxics inventory is a type of emission inventory.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:natural_capital rdfs:subClassOf :environmental_assessment .

",natural capital is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:new_source_review rdfs:subClassOf :environmental_assessment .

",new source review is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:no_observed_adverse_effect_level rdfs:subClassOf :health_risk_assessment,
        :hra .

","no observed adverse effect level is a type of hra.
no observed adverse effect level is a type of health risk assessment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:no_observed_effect_level rdfs:subClassOf :health_risk_assessment,
        :hra .

","no observed effect level is a type of hra.
no observed effect level is a type of health risk assessment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:status_assessment rdfs:subClassOf :environmental_assessment .

",status assessment is a type of environmental assessment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:suitability_assessment rdfs:subClassOf :environmental_assessment .

",suitability assessment is a type of environmental assessment.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:urf rdfs:subClassOf :health_risk_assessment,
        :hra ;
    owl:equivalentClass :unit_risk_factor .

","urf is same as unit risk factor.
urf is a type of hra.
urf is a type of health risk assessment.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:unit_risk_factor rdfs:subClassOf :health_risk_assessment,
        :hra .

","unit risk factor is a type of hra.
unit risk factor is a type of health risk assessment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:conservation rdfs:subClassOf :management .

",conservation is a type of management.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:habitat_management rdfs:subClassOf :land_management .

",habitat management is a type of land management.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:land_management rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_realm ;
            owl:someValuesFrom :land ],
        :management .

","land management is a type of management.
land management is a type of something that at least has realm some land.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:land_preservation rdfs:subClassOf :land_management .

",land preservation is a type of land management.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:land_tenure rdfs:subClassOf :land_management .

",land tenure is a type of land management.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:protection rdfs:subClassOf :role,
        :sustainability,
        :sustainable .

","protection is a type of sustainability.
protection is a type of sustainable.
protection is a type of role.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:stewardship rdfs:subClassOf :management .

",stewardship is a type of management.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sustainability rdfs:subClassOf :human_activity ;
    owl:equivalentClass :sustainable .

","sustainability is same as sustainable.
sustainability is a type of human activity.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sustainable rdfs:subClassOf :human_activity .

",sustainable is a type of human activity.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abatement rdfs:subClassOf :environmental_control_strategy .

",abatement is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:afforestation rdfs:subClassOf :environmental_control_strategy .

",afforestation is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:air_treatment_process rdfs:subClassOf :environmental_control_strategy,
        :treatment .

","air treatment process is a type of environmental control strategy.
air treatment process is a type of treatment.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:bact rdfs:subClassOf :environmental_control_strategy ;
    owl:equivalentClass :best_availabl_control_technology .

","bact is same as best availabl control technology.
bact is a type of environmental control strategy.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:best_availabl_control_technology rdfs:subClassOf :environmental_control_strategy .

",best availabl control technology is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:biosequestration rdfs:subClassOf :carbon_sequestration .

",biosequestration is a type of carbon sequestration.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cap_and_trade rdfs:subClassOf :environmental_control_strategy .

",cap and trade is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:carbon_offset rdfs:subClassOf :environmental_control_strategy .

",carbon offset is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:carbon_sequestration rdfs:subClassOf :sequester .

",carbon sequestration is a type of sequester.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cloud_seeding rdfs:subClassOf :environmental_control_strategy .

",cloud seeding is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:compliance rdfs:subClassOf :environmental_control_strategy .

",compliance is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:controlled_burn rdfs:subClassOf :environmental_control_strategy .

",controlled burn is a type of environmental control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:distillation rdfs:subClassOf :water_treatment_process .

",distillation is a type of water treatment process.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dry_scrubbing rdfs:subClassOf :scrubbing .

",dry scrubbing is a type of scrubbing.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:environmental_control_strategy rdfs:subClassOf :control_strategy .

",environmental control strategy is a type of control strategy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:flocculation rdfs:subClassOf :water_treatment_process .

",flocculation is a type of water treatment process.,1,False
