ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.org/dc/terms/conformsTo,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/RO_0002175,http://purl.obolibrary.org/obo/IAO_0000233,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://purl.obolibrary.org/obo/mondo#excluded_from_qc_check,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2004/02/skos/core#closeMatch,http://purl.obolibrary.org/obo/mondo#excluded_subClassOf,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,https://w3id.org/semapv/vocab/crossSpeciesExactMatch,http://purl.obolibrary.org/obo/mondo#should_conform_to,http://purl.org/dc/terms/creator,http://purl.obolibrary.org/obo/IAO_0006012,http://purl.obolibrary.org/obo/IAO_0000111,http://purl.obolibrary.org/obo/IAO_0000116,http://purl.obolibrary.org/obo/IAO_0000117,http://purl.obolibrary.org/obo/IAO_0000119
mondo,http://purl.obolibrary.org/obo/UBERON_0001254,"@prefix ns1: <http://purl.obolibrary.org/obo/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:urothelium_of_ureter a owl:Class ;
    rdfs:label ""urothelium of ureter"" ;
    ns1:RO_0002175 :homo_sapiens ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :ureter ],
        [ a owl:Restriction ;
            owl:onProperty :contributes_to_morphology_of ;
            owl:someValuesFrom :ureter ],
        :meso_epithelium,
        :mixed_endoderm_mesoderm_derived_structure,
        :urothelium .

","urothelium of ureter is a type of a meso epithelium.
urothelium of ureter is a type of a mixed endoderm mesoderm derived structure.
urothelium of ureter is a type of an urothelium.
urothelium of ureter is a type of at least contributes to morphology of some an ureter.
urothelium of ureter is a type of at least part of some an ureter.",The urothelium of the ureter is a type of meso epithelium and a mixed endoderm-mesoderm derived structure. It is also categorized as an urothelium. This tissue contributes to the morphology of the ureter and is an integral part of it.,gpt-4o,5,10,6,14,3,5.0,1,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/UBERON_0015482,"@prefix ns1: <http://purl.obolibrary.org/obo/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:right_hepatic_artery a owl:Class ;
    rdfs:label ""right hepatic artery"" ;
    ns1:RO_0002175 :homo_sapiens ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :right_lobe_of_liver ],
        [ a owl:Restriction ;
            owl:onProperty :connected_to ;
            owl:someValuesFrom :proper_hepatic_artery ],
        :hepatic_artery,
        :liver_blood_vessel .

","right hepatic artery is a type of a hepatic artery.
right hepatic artery is a type of a liver blood vessel.
right hepatic artery is a type of at least connected to some a proper hepatic artery.
right hepatic artery is a type of at least part of some a right lobe of liver.",The right hepatic artery is a type of hepatic artery and a liver blood vessel. It is connected to a proper hepatic artery and is part of the right lobe of the liver.,gpt-4o,4,10,6,13,3,4.0,1,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0030059,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix ns2: <http://purl.obolibrary.org/obo/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:developmental_and_epileptic_encephalopathy_87 a owl:Class ;
    rdfs:label ""developmental and epileptic encephalopathy, 87"" ;
    ns2:IAO_0000233 ""https://github.com/monarch-initiative/mondo/issues/4521""^^xsd:anyURI ;
    ns1:hasDbXref ""DOID:0112221"",
        ""GARD:16393"",
        ""MEDGEN:1719688"",
        ""OMIM:618916"",
        ""UMLS:C5394501"" ;
    ns1:id ""MONDO:0030059"" ;
    ns1:inSubset :gard_rare,
        :nord_rare,
        :otar,
        :rare ;
    rdfs:subClassOf :developmental_and_epileptic_encephalopathy ;
    skos:exactMatch :1719688,
        :618916,
        :c5394501,
        :doid_0112221 ;
    :has_exact_synonym ""DEE87"",
        ""EIEE87"",
        ""EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 87"",
        ""developmental and epileptic encephalopathy 87"",
        ""epileptic encephalopathy, early infantile, 87"" .

","developmental and epileptic encephalopathy 87 has exact synonym a DEE87.
developmental and epileptic encephalopathy 87 has exact synonym a EIEE87.
developmental and epileptic encephalopathy 87 has exact synonym a EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 87.
developmental and epileptic encephalopathy 87 has exact synonym a developmental and epileptic encephalopathy 87.
developmental and epileptic encephalopathy 87 has exact synonym an epileptic encephalopathy, early infantile, 87.
developmental and epileptic encephalopathy 87 is a type of a developmental and epileptic encephalopathy.","Developmental and epileptic encephalopathy 87, also known as DEE87, EIEE87, epileptic encephalopathy, early infantile, 87, or simply developmental and epileptic encephalopathy 87, is a type of developmental and epileptic encephalopathy.",gpt-4o,6,11,9,23,1,1.0,1,,,,,,,,,5.0,5.0,,1.0,4.0,4.0,,1.0,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/CL_0000397,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ganglion_interneuron a owl:Class ;
    rdfs:label ""ganglion interneuron"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_soma_location ;
            owl:someValuesFrom :ganglion ],
        :interneuron .

","ganglion interneuron is a type of an interneuron.
ganglion interneuron is a type of at least has soma location some a ganglion.",A ganglion interneuron is a type of interneuron that has its soma located in a ganglion.,gpt-4o,2,6,5,7,2,2.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0800349,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix ns2: <http://purl.obolibrary.org/obo/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:atrial_fibrillation_familial_16 a owl:Class ;
    rdfs:label ""atrial fibrillation, familial, 16"" ;
    ns2:IAO_0000233 ""https://github.com/monarch-initiative/mondo/issues/5507""^^xsd:anyURI ;
    ns1:hasDbXref ""MEDGEN:862136"",
        ""UMLS:C4013699"" ;
    ns1:id ""MONDO:0800349"" ;
    ns1:inSubset :gard_rare,
        :rare ;
    rdfs:subClassOf :familial_atrial_fibrillation ;
    skos:exactMatch :862136,
        :c4013699 ;
    :has_exact_synonym ""ATFB16"" .

","atrial fibrillation familial 16 has exact synonym a ATFB16.
atrial fibrillation familial 16 is a type of a familial atrial fibrillation.","Atrial fibrillation familial 16, exactly synonymous with ATFB16, is a type of familial atrial fibrillation.",gpt-4o,2,7,9,12,1,1.0,1,,,,,,,,,2.0,1.0,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0012744,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .

:dilated_cardiomyopathy_1_y a owl:Class ;
    rdfs:label ""dilated cardiomyopathy 1Y"" ;
    ns1:hasDbXref ""DOID:0110457"",
        ""GARD:15530"",
        ""MEDGEN:437215"",
        ""MESH:C567507"",
        ""OMIM:611878"",
        ""UMLS:C2678476"" ;
    ns1:id ""MONDO:0012744"" ;
    ns1:inSubset :gard_rare,
        :nord_rare,
        :rare ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in_germline_mutation_in ;
            owl:someValuesFrom :tpm1 ],
        :left_ventricular_noncompaction ;
    skos:exactMatch :437215,
        :611878,
        :c2678476,
        :c567507,
        :doid_0110457 ;
    :has_definition ""Any familial isolated dilated cardiomyopathy in which the cause of the disease is a mutation in the TPM1 gene."" ;
    :has_exact_synonym ""CMD1Y"",
        ""TPM1 familial isolated dilated cardiomyopathy"",
        ""cardiomyopathy, dilated, type 1Y"",
        ""dilated cardiomyopathy type 1Y"",
        ""familial isolated dilated cardiomyopathy caused by mutation in TPM1"" ;
    :has_related_synonym ""cardiomyopathy, dilated, 1Y"",
        ""left ventricular noncompaction 9"" .

","dilated cardiomyopathy 1 y has definition a Any familial isolated dilated cardiomyopathy in which the cause of the disease is a mutation in the TPM1 gene..
dilated cardiomyopathy 1 y has exact synonym a CMD1Y.
dilated cardiomyopathy 1 y has exact synonym a TPM1 familial isolated dilated cardiomyopathy.
dilated cardiomyopathy 1 y has exact synonym a cardiomyopathy, dilated, type 1Y.
dilated cardiomyopathy 1 y has exact synonym a dilated cardiomyopathy type 1Y.
dilated cardiomyopathy 1 y has exact synonym a familial isolated dilated cardiomyopathy caused by mutation in TPM1.
dilated cardiomyopathy 1 y has related synonym a cardiomyopathy, dilated, 1Y.
dilated cardiomyopathy 1 y has related synonym a left ventricular noncompaction 9.
dilated cardiomyopathy 1 y is a type of a left ventricular noncompaction.
dilated cardiomyopathy 1 y is a type of at least has material basis in germline mutation in some a tpm1.","Dilated cardiomyopathy type 1Y, also known as CMD1Y, TPM1 familial isolated dilated cardiomyopathy, or simply dilated cardiomyopathy type 1Y, refers to any familial isolated dilated cardiomyopathy caused by a mutation in the TPM1 gene. It is also called cardiomyopathy, dilated, type 1Y, and familial isolated dilated cardiomyopathy caused by mutation in TPM1. Related terms include cardiomyopathy, dilated, 1Y, and left ventricular noncompaction 9. This condition is a type of left ventricular noncompaction and has a material basis in a germline mutation in the TPM1 gene.",gpt-4o,10,14,12,30,2,2.0,1,1.0,1.0,,,,,1.0,,6.0,5.0,2.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,,,
mondo,http://identifiers.org/hgnc/28852,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:syce1 a owl:Class ;
    rdfs:label ""SYCE1"" ;
    rdfs:subClassOf :gene .

",syce1 is a type of a gene.,Syce1 is a type of gene.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://identifiers.org/hgnc/26576,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ky a owl:Class ;
    rdfs:label ""KY"" ;
    rdfs:subClassOf :gene .

",ky is a type of a gene.,KY is a type of gene.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/CL_0002483,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hair_follicle_melanocyte a owl:Class ;
    rdfs:label ""hair follicle melanocyte"" ;
    rdfs:subClassOf :epidermal_melanocyte,
        :hair_follicle_cell .

","hair follicle melanocyte is a type of a hair follicle cell.
hair follicle melanocyte is a type of an epidermal melanocyte.",A hair follicle melanocyte is a type of both a hair follicle cell and an epidermal melanocyte.,gpt-4o,2,4,3,4,1,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/HP_0010116,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:enlarged_epiphyses_of_the_hallux a owl:Class ;
    rdfs:label ""Enlarged epiphyses of the hallux"" ;
    rdfs:subClassOf :abnormality_of_the_epiphyses_of_the_hallux,
        :enlarged_epiphyses_of_the_toes .

","enlarged epiphyses of the hallux is a type of an abnormality of the epiphyses of the hallux.
enlarged epiphyses of the hallux is a type of an enlarged epiphyses of the toes.",Enlarged epiphyses of the hallux is an abnormality of the epiphyses of the hallux and also a type of enlarged epiphyses of the toes.,gpt-4o,2,4,3,4,1,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/HP_0012895,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:scapular_muscle_hypertrophy a owl:Class ;
    rdfs:label ""Scapular muscle hypertrophy"" ;
    rdfs:subClassOf :skeletal_muscle_hypertrophy .

",scapular muscle hypertrophy is a type of a skeletal muscle hypertrophy.,Scapular muscle hypertrophy is a form of skeletal muscle hypertrophy.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0019404,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:perineurioma a owl:Class ;
    rdfs:label ""perineurioma"" ;
    ns1:hasDbXref ""DOID:4697"",
        ""GARD:12698"",
        ""ICD9:215.9"",
        ""ICDO:9571/0"",
        ""MEDGEN:199712"",
        ""NCIT:C4973"",
        ""Orphanet:85102"",
        ""SCTID:404036006"",
        ""UMLS:C0751691"" ;
    ns1:id ""MONDO:0019404"" ;
    ns1:inSubset :disease_grouping,
        :gard_rare,
        :nord_rare,
        :ordo_group_of_disorders,
        :otar,
        :rare ;
    rdfs:seeAlso ""https://rarediseases.info.nih.gov/diseases/12698/perineurioma""^^xsd:anyURI ;
    rdfs:subClassOf :nerve_sheath_neoplasm,
        :tumor_of_cranial_and_spinal_nerves ;
    skos:exactMatch :199712,
        :404036006,
        :c0751691,
        :doid_4697,
        :ncit_c4973,
        :orphanet_85102 ;
    :has_definition ""A usually benign perineurioma not associated with a nerve, arising from the soft tissues."" ;
    :has_exact_synonym ""perineurioma"" ;
    :has_related_synonym ""soft tissue perineurioma"" .

","perineurioma has definition a A usually benign perineurioma not associated with a nerve, arising from the soft tissues..
perineurioma has exact synonym a perineurioma.
perineurioma has related synonym a soft tissue perineurioma.
perineurioma is a type of a nerve sheath neoplasm.
perineurioma is a type of a tumor of cranial and spinal nerves.","Perineurioma, a usually benign tumor not associated with a nerve, arises from the soft tissues. It has an exact synonym, ""perineurioma,"" and a related synonym, ""soft tissue perineurioma."" This condition is a type of nerve sheath neoplasm and also falls under the category of tumors affecting cranial and spinal nerves.",gpt-4o,5,16,11,30,1,2.0,1,,,,,,,1.0,,9.0,1.0,1.0,1.0,6.0,6.0,,,1.0,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0957530,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .

:breast_ovarian_cancer_familial_susceptibility_to_5 a owl:Class ;
    rdfs:label ""breast-ovarian cancer, familial, susceptibility to, 5"" ;
    ns1:hasDbXref ""MEDGEN:1841251"",
        ""OMIM:620442"",
        ""UMLS:C5830615"" ;
    ns1:id ""MONDO:0957530"" ;
    rdfs:subClassOf :breast_ovarian_cancer_familial_susceptibility_to ;
    skos:exactMatch :1841251,
        :620442,
        :c5830615 .

",breast ovarian cancer familial susceptibility to 5 is a type of a breast ovarian cancer familial susceptibility to.,Breast ovarian cancer familial susceptibility to 5 is a specific type of breast ovarian cancer familial susceptibility.,gpt-4o,1,6,6,10,1,1.0,1,,,,,,,,,3.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,
